Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
,PLUM (Prunus species),Fruits,hexane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,octane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,nonane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,decane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,undecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,dodecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,tridecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,tetradecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,tetradecane (branched),Hydrocarbons,,
,PLUM (Prunus species),Fruits,pentadecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,hexadecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,heptadecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,heptadecene (unkn.str.),Hydrocarbons,,
,PLUM (Prunus species),Fruits,octadecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,nonadecane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,eicosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,heneicosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,heneicosane (branched),Hydrocarbons,,
,PLUM (Prunus species),Fruits,docosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,docosane (branched),Hydrocarbons,,
,PLUM (Prunus species),Fruits,tricosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,tricosane (branched),Hydrocarbons,,
,PLUM (Prunus species),Fruits,tetracosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,pentacosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,hexacosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,heptacosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,nonacosane,Hydrocarbons,,
,PLUM (Prunus species),Fruits,β-ocimene,Hydrocarbons,0.03,0.03
,PLUM (Prunus species),Fruits,β-myrcene (=myrcene),Hydrocarbons,0.26,0.26
,PLUM (Prunus species),Fruits,β-phellandrene,Hydrocarbons,0,0.005
,PLUM (Prunus species),Fruits,γ-terpinene,Hydrocarbons,0.06,0.06
,PLUM (Prunus species),Fruits,limonene,Hydrocarbons,0.001,0.024
,PLUM (Prunus species),Fruits,α-pinene,Hydrocarbons,,
,PLUM (Prunus species),Fruits,β-pinene,Hydrocarbons,0,1.27
,PLUM (Prunus species),Fruits,camphene,Hydrocarbons,0.25,0.25
,PLUM (Prunus species),Fruits,methylbenzene (=toluene),Hydrocarbons,,
,PLUM (Prunus species),Fruits,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
,PLUM (Prunus species),Fruits,vinylbenzene (=styrene),Hydrocarbons,0.002,0.002
,PLUM (Prunus species),Fruits,"1,2-dimethylbenzene (=o-xylene)",Hydrocarbons,,
,PLUM (Prunus species),Fruits,"1,4-dimethylbenzene (=p-xylene)",Hydrocarbons,,
,PLUM (Prunus species),Fruits,1-methyl-4-propylbenzene,Hydrocarbons,0.03,0.03
,PLUM (Prunus species),Fruits,1-isopropyl-3-methylbenzene (=m-cymene),Hydrocarbons,0,0.004
,PLUM (Prunus species),Fruits,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,,
,PLUM (Prunus species),Fruits,"1,2,3-trimethylbenzene (=hemimellitene)",Hydrocarbons,0,0.0025
,PLUM (Prunus species),Fruits,biphenyl,Hydrocarbons,,
,PLUM (Prunus species),Fruits,naphthalene,Hydrocarbons,0.0008,0.007
,PLUM (Prunus species),Fruits,1-methylnaphthalene,Hydrocarbons,,
,PLUM (Prunus species),Fruits,2-methylnaphthalene,Hydrocarbons,,
,PLUM (Prunus species),Fruits,methanol,Alcohols,,
,PLUM (Prunus species),Fruits,ethanol,Alcohols,0.1,0.1
,PLUM (Prunus species),Fruits,2-butoxyethanol,Alcohols,,
,PLUM (Prunus species),Fruits,1-propanol (=propyl alcohol),Alcohols,,
,PLUM (Prunus species),Fruits,2-methyl-1-propanol (=isobutanol),Alcohols,,
,PLUM (Prunus species),Fruits,1-butanol,Alcohols,0.44,0.44
,PLUM (Prunus species),Fruits,2-methyl-1-butanol (=active amyl alcohol),Alcohols,,
,PLUM (Prunus species),Fruits,3-methyl-1-butanol (=isoamyl alcohol),Alcohols,0.09,0.09
,PLUM (Prunus species),Fruits,3-methyl-2-butanol,Alcohols,,
,PLUM (Prunus species),Fruits,2-methyl-3-buten-2-ol,Alcohols,,
,PLUM (Prunus species),Fruits,1-pentanol (=amyl alcohol),Alcohols,0.004,0.4
,PLUM (Prunus species),Fruits,pentanol (unkn.str.),Alcohols,,
,PLUM (Prunus species),Fruits,(Z)-2-penten-1-ol,Alcohols,,
,PLUM (Prunus species),Fruits,1-penten-3-ol,Alcohols,,
,PLUM (Prunus species),Fruits,2-methyl-2-pentanol,Alcohols,0.01,0.01
,PLUM (Prunus species),Fruits,3-methyl-3-pentanol,Alcohols,0.034,0.034
,PLUM (Prunus species),Fruits,1-hexanol,Alcohols,0.012,5
,PLUM (Prunus species),Fruits,hexanol (unkn.str.),Alcohols,,
,PLUM (Prunus species),Fruits,2-hexen-1-ol,Alcohols,,
,PLUM (Prunus species),Fruits,(E)-2-hexen-1-ol,Alcohols,0.001,0.044
,PLUM (Prunus species),Fruits,3-hexen-1-ol,Alcohols,,
,PLUM (Prunus species),Fruits,(Z)-3-hexen-1-ol (=leaf alcohol),Alcohols,0,2.3
,PLUM (Prunus species),Fruits,(E)-3-hexen-1-ol,Alcohols,,
,PLUM (Prunus species),Fruits,1-hexen-3-ol,Alcohols,0.01,0.01
,PLUM (Prunus species),Fruits,5-methyl-3-hexanol,Alcohols,,
,PLUM (Prunus species),Fruits,2-ethyl-1-hexanol,Alcohols,0,0.01
,PLUM (Prunus species),Fruits,1-heptanol,Alcohols,,
,PLUM (Prunus species),Fruits,"4-ethyl-2,6-dimethyl-4-heptanol",Alcohols,0.06,0.06
,PLUM (Prunus species),Fruits,1-octanol,Alcohols,0.0395,0.18
,PLUM (Prunus species),Fruits,1-octen-3-ol,Alcohols,0.05,0.05
,PLUM (Prunus species),Fruits,1-nonanol,Alcohols,0.0084,2.77
,PLUM (Prunus species),Fruits,2-nonen-1-ol,Alcohols,,
,PLUM (Prunus species),Fruits,geraniol,Alcohols,0,0.22
,PLUM (Prunus species),Fruits,nerol,Alcohols,0,0.03
,PLUM (Prunus species),Fruits,linalool,Alcohols,0.006,0.7
,PLUM (Prunus species),Fruits,(R)-(-)-linalool (=licareol),Alcohols,,
,PLUM (Prunus species),Fruits,(S)-(+)-linalool (=coriandrol),Alcohols,,
,PLUM (Prunus species),Fruits,benzyl alcohol (=benzenemethanol),Alcohols,11.79,11.79
,PLUM (Prunus species),Fruits,1-phenylethanol (=α-methylbenzyl alcohol),Alcohols,0.13,0.13
,PLUM (Prunus species),Fruits,2-phenylethanol (=phenethyl alcohol),Alcohols,0.06,1.5
,PLUM (Prunus species),Fruits,"1,2-bis(1-cyclohexenyl)-1,2-ethanediol",Alcohols,0.03,0.03
,PLUM (Prunus species),Fruits,"p-cymen-8-ol (=α,α,p-trimethyl-benzyl alcohol)",Alcohols,,
,PLUM (Prunus species),Fruits,α-terpineol,Alcohols,0,0.31
,PLUM (Prunus species),Fruits,β-terpineol,Alcohols,0.04,0.04
,PLUM (Prunus species),Fruits,cis-β-terpineol,Alcohols,,
,PLUM (Prunus species),Fruits,trans-β-terpineol,Alcohols,,
,PLUM (Prunus species),Fruits,γ-terpineol,Alcohols,,
,PLUM (Prunus species),Fruits,1-terpineol (=p-3-menthen-1-ol),Alcohols,,
,PLUM (Prunus species),Fruits,4-terpineol (=terpinen-4-ol),Alcohols,0,0.004
,PLUM (Prunus species),Fruits,borneol,Alcohols,,
,PLUM (Prunus species),Fruits,cadinol-T,Alcohols,,
,PLUM (Prunus species),Fruits,acetaldehyde (=ethanal),"Carbonyls, aldehydes",,
,PLUM (Prunus species),Fruits,2-methoxypropanal,"Carbonyls, aldehydes",,
