Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
APRICOT (Prunus armeniaca L.),,Fruits,decane,Hydrocarbons,<0.01,<0.01
APRICOT (Prunus armeniaca L.),,Fruits,"(E,Z)-1,3,5-undecatriene",Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,dodecane,Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,tridecane,Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,pentadecane,Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,eicosane,Hydrocarbons,0.05,0.05
APRICOT (Prunus armeniaca L.),,Fruits,tricosane,Hydrocarbons,0.03,0.03
APRICOT (Prunus armeniaca L.),,Fruits,hexacosane,Hydrocarbons,0.1,0.1
APRICOT (Prunus armeniaca L.),,Fruits,(E)-β-ocimene,Hydrocarbons,0.003,0.003
APRICOT (Prunus armeniaca L.),,Fruits,β-myrcene (=myrcene),Hydrocarbons,0.006,0.006
APRICOT (Prunus armeniaca L.),,Fruits,α-phellandrene,Hydrocarbons,0.03,0.03
APRICOT (Prunus armeniaca L.),,Fruits,γ-terpinene,Hydrocarbons,0.012,0.012
APRICOT (Prunus armeniaca L.),,Fruits,terpinolene,Hydrocarbons,0.05,0.05
APRICOT (Prunus armeniaca L.),,Fruits,limonene,Hydrocarbons,0.005,0.06
APRICOT (Prunus armeniaca L.),,Fruits,α-pinene,Hydrocarbons,<0.01,<0.01
APRICOT (Prunus armeniaca L.),,Fruits,β-pinene,Hydrocarbons,0.002,0.002
APRICOT (Prunus armeniaca L.),,Fruits,camphene,Hydrocarbons,0.002,0.03
APRICOT (Prunus armeniaca L.),,Fruits,methylbenzene (=toluene),Hydrocarbons,0.2,0.3
APRICOT (Prunus armeniaca L.),,Fruits,dimethylbenzene (unkn.str.) (=xylene (unkn.str.)),Hydrocarbons,0.1,0.2
APRICOT (Prunus armeniaca L.),,Fruits,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,0.009,0.1
APRICOT (Prunus armeniaca L.),,Fruits,trimethylbenzene (unkn.str.),Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,naphthalene,Hydrocarbons,,
APRICOT (Prunus armeniaca L.),,Fruits,1-propanol (=propyl alcohol),Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,2-methyl-1-propanol (=isobutanol),Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,1-butanol,Alcohols,0.4,0.8
APRICOT (Prunus armeniaca L.),,Fruits,2-methyl-1-butanol (=active amyl alcohol),Alcohols,0.001,0.001
APRICOT (Prunus armeniaca L.),,Fruits,3-methyl-1-butanol (=isoamyl alcohol),Alcohols,0.1,0.2
APRICOT (Prunus armeniaca L.),,Fruits,2-methyl-2-buten-1-ol,Alcohols,0,0.07
APRICOT (Prunus armeniaca L.),,Fruits,1-pentanol (=amyl alcohol),Alcohols,0,0.4
APRICOT (Prunus armeniaca L.),,Fruits,2-pentanol,Alcohols,0.003,7.4
APRICOT (Prunus armeniaca L.),,Fruits,3-pentanol,Alcohols,1,1.3
APRICOT (Prunus armeniaca L.),,Fruits,1-penten-3-ol,Alcohols,0.6,0.8
APRICOT (Prunus armeniaca L.),,Fruits,1-hexanol,Alcohols,0.06,8
APRICOT (Prunus armeniaca L.),,Fruits,2-hexanol,Alcohols,0.001,0.001
APRICOT (Prunus armeniaca L.),,Fruits,3-hexanol,Alcohols,0.001,0.001
APRICOT (Prunus armeniaca L.),,Fruits,(E)-2-hexen-1-ol,Alcohols,0.1,28.5
APRICOT (Prunus armeniaca L.),,Fruits,(Z)-3-hexen-1-ol (=leaf alcohol),Alcohols,0.056,13.8
APRICOT (Prunus armeniaca L.),,Fruits,2-ethyl-1-hexanol,Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,1-octanol,Alcohols,0,0.1
APRICOT (Prunus armeniaca L.),,Fruits,geraniol,Alcohols,0.04,1.9
APRICOT (Prunus armeniaca L.),,Fruits,nerol,Alcohols,0.008,0.7
APRICOT (Prunus armeniaca L.),,Fruits,linalool,Alcohols,0,9.7
APRICOT (Prunus armeniaca L.),,Fruits,(R)-(-)-linalool (=licareol),Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,(S)-(+)-linalool (=coriandrol),Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,ocimenol,Alcohols,0.04,0.04
APRICOT (Prunus armeniaca L.),,Fruits,farnesol,Alcohols,0.005,0.005
APRICOT (Prunus armeniaca L.),,Fruits,benzyl alcohol (=benzenemethanol),Alcohols,0,1.7
APRICOT (Prunus armeniaca L.),,Fruits,2-phenylethanol (=phenethyl alcohol),Alcohols,0.002,1.2
APRICOT (Prunus armeniaca L.),,Fruits,"p-cymen-8-ol (=α,α,p-trimethyl-benzyl alcohol)",Alcohols,0,1.6
APRICOT (Prunus armeniaca L.),,Fruits,p-cymen-9-ol,Alcohols,0.004,0.3
APRICOT (Prunus armeniaca L.),,Fruits,"3,4-didehydro-β-ionol",Alcohols,0.01,0.01
APRICOT (Prunus armeniaca L.),,Fruits,α-terpineol,Alcohols,0.02,3.3
APRICOT (Prunus armeniaca L.),,Fruits,4-terpineol (=terpinen-4-ol),Alcohols,0.008,1.7
APRICOT (Prunus armeniaca L.),,Fruits,α-fenchol (=α-fenchyl alcohol),Alcohols,,
APRICOT (Prunus armeniaca L.),,Fruits,"3-methylbutanal (=isopentanal, isovaleraldehyde)","Carbonyls, aldehydes",0.04,0.1
APRICOT (Prunus armeniaca L.),,Fruits,pentanal (=valeraldehyde),"Carbonyls, aldehydes",0.008,0.5
APRICOT (Prunus armeniaca L.),,Fruits,hexanal (=capronaldehyde),"Carbonyls, aldehydes",0.07,22.8
APRICOT (Prunus armeniaca L.),,Fruits,(E)-2-hexenal (=leaf aldehyde),"Carbonyls, aldehydes",0.1,70
APRICOT (Prunus armeniaca L.),,Fruits,"2,4-hexadienal","Carbonyls, aldehydes",0,0.2
APRICOT (Prunus armeniaca L.),,Fruits,heptanal,"Carbonyls, aldehydes",0.01,0.2
APRICOT (Prunus armeniaca L.),,Fruits,(Z)-2-heptenal,"Carbonyls, aldehydes",0.006,0.006
APRICOT (Prunus armeniaca L.),,Fruits,"2,4-heptadienal","Carbonyls, aldehydes",0.1,0.2
APRICOT (Prunus armeniaca L.),,Fruits,octanal (=caprylaldehyde),"Carbonyls, aldehydes",0.004,0.2
APRICOT (Prunus armeniaca L.),,Fruits,nonanal (=pelargonaldehyde),"Carbonyls, aldehydes",0.007,0.4
APRICOT (Prunus armeniaca L.),,Fruits,(E)-2-nonenal,"Carbonyls, aldehydes",0.002,0.002
APRICOT (Prunus armeniaca L.),,Fruits,decanal (=capraldehyde),"Carbonyls, aldehydes",0.002,0.15
APRICOT (Prunus armeniaca L.),,Fruits,"(E,E)-2,4-decadienal","Carbonyls, aldehydes",0.003,0.003
APRICOT (Prunus armeniaca L.),,Fruits,tetradecanal,"Carbonyls, aldehydes",,
APRICOT (Prunus armeniaca L.),,Fruits,hexadecanal,"Carbonyls, aldehydes",,
APRICOT (Prunus armeniaca L.),,Fruits,geranial (=α-citral),"Carbonyls, aldehydes",,
APRICOT (Prunus armeniaca L.),,Fruits,benzaldehyde,"Carbonyls, aldehydes",0.002,12.8
APRICOT (Prunus armeniaca L.),,Fruits,4-hydroxybenzaldehyde (=4-formylphenol),"Carbonyls, aldehydes",,
APRICOT (Prunus armeniaca L.),,Fruits,4-methoxybenzaldehyde (=anisaldehyde),"Carbonyls, aldehydes",,
APRICOT (Prunus armeniaca L.),,Fruits,phenylacetaldehyde (=benzeneacetaldehyde),"Carbonyls, aldehydes",0,2.4
APRICOT (Prunus armeniaca L.),,Fruits,β-cyclocitral,"Carbonyls, aldehydes",0.01,0.01
APRICOT (Prunus armeniaca L.),,Fruits,2-butanone (=ethyl methyl ketone),"Carbonyls, ketones",,
APRICOT (Prunus armeniaca L.),,Fruits,"2,3-butanedione (=diacetyl)","Carbonyls, ketones",,
APRICOT (Prunus armeniaca L.),,Fruits,2-pentanone,"Carbonyls, ketones",0.007,0.3
APRICOT (Prunus armeniaca L.),,Fruits,2-hexanone,"Carbonyls, ketones",0.002,0.002
APRICOT (Prunus armeniaca L.),,Fruits,5-methyl-3-hexanone,"Carbonyls, ketones",,
APRICOT (Prunus armeniaca L.),,Fruits,2-heptanone,"Carbonyls, ketones",0.01,0.01
APRICOT (Prunus armeniaca L.),,Fruits,6-methyl-5-hepten-2-one,"Carbonyls, ketones",0.004,1.6
APRICOT (Prunus armeniaca L.),,Fruits,2-octanone,"Carbonyls, ketones",,
APRICOT (Prunus armeniaca L.),,Fruits,3-nonen-2-one,"Carbonyls, ketones",0.002,0.002
