Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,tetradecane,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,eicosane,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,6-methyldocosane,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(Z)-β-ocimene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(E)-β-ocimene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,β-myrcene (=myrcene),Hydrocarbons,<1000,13500
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(E)-β-farnesene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-phellandrene,Hydrocarbons,100,100
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,β-phellandrene,Hydrocarbons,500,1400
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-terpinene,Hydrocarbons,500,800
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,γ-terpinene,Hydrocarbons,<1000,101000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,terpinolene,Hydrocarbons,900,26000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,limonene,Hydrocarbons,16000,72800
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(4R)-(+)-limonene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(4S)-(-)-limonene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,ar-curcumene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-humulene (=humulene),Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-pinene,Hydrocarbons,6000,83000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(1R)-α-pinene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(1S)-α-pinene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,β-pinene,Hydrocarbons,<1000,14000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(1R)-β-pinene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(1S)-β-pinene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,camphene,Hydrocarbons,<1000,18000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-thujene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,β-thujene,Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,sabinene (=4(10)-thujene),Hydrocarbons,<1000,5000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,3-carene,Hydrocarbons,trace,trace
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,β-caryophyllene,Hydrocarbons,0,5000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-copaene (=copaene),Hydrocarbons,1000,1000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,tricyclene,Hydrocarbons,500,500
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,1-isopropyl-3-methylbenzene (=m-cymene),Hydrocarbons,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,<1000,147000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,1-octanol,Alcohols,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,1-decanol,Alcohols,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(E)-2-decen-1-ol,Alcohols,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,1-dodecanol,Alcohols,trace,trace
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,citronellol,Alcohols,0,11000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,geraniol,Alcohols,8000,46000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,nerol,Alcohols,trace,400
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,linalool,Alcohols,492000,733000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(R)-(-)-linalool (=licareol),Alcohols,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,(S)-(+)-linalool (=coriandrol),Alcohols,,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,α-terpineol,Alcohols,2000,29000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,4-terpineol (=terpinen-4-ol),Alcohols,2000,23000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,borneol,Alcohols,1300,19000
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,"3-methylbutanal (=isopentanal, isovaleraldehyde)","Carbonyls, aldehydes",,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,pentanal (=valeraldehyde),"Carbonyls, aldehydes",,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,hexanal (=capronaldehyde),"Carbonyls, aldehydes",,
CORIANDER SEED (Coriandrum sativum L.),,Spices & Condiments,heptanal,"Carbonyls, aldehydes",1000,1000
