Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
VINEGAR,,Spices & Condiments,methane,Hydrocarbons,,
VINEGAR,,Spices & Condiments,ethane,Hydrocarbons,,
VINEGAR,,Spices & Condiments,dodecane,Hydrocarbons,,
VINEGAR,,Spices & Condiments,tridecane,Hydrocarbons,,
VINEGAR,,Spices & Condiments,tetradecane,Hydrocarbons,,
VINEGAR,,Spices & Condiments,methylbenzene (=toluene),Hydrocarbons,,
VINEGAR,,Spices & Condiments,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
VINEGAR,,Spices & Condiments,vinylbenzene (=styrene),Hydrocarbons,,
VINEGAR,,Spices & Condiments,methanol,Alcohols,,
VINEGAR,,Spices & Condiments,ethanol,Alcohols,200,9900
VINEGAR,,Spices & Condiments,1-propanol (=propyl alcohol),Alcohols,4,49
VINEGAR,,Spices & Condiments,2-methyl-1-propanol (=isobutanol),Alcohols,21,90
VINEGAR,,Spices & Condiments,"2,2-dimethyl-1-propanol",Alcohols,,
VINEGAR,,Spices & Condiments,1-butanol,Alcohols,,
VINEGAR,,Spices & Condiments,2-butanol (=sec-butanol),Alcohols,25,111
VINEGAR,,Spices & Condiments,2-methyl-1-butanol (=active amyl alcohol),Alcohols,,
VINEGAR,,Spices & Condiments,3-methyl-1-butanol (=isoamyl alcohol),Alcohols,8,86
VINEGAR,,Spices & Condiments,2-methyl-3-buten-2-ol,Alcohols,,
VINEGAR,,Spices & Condiments,"2,3-butanediol (=2,3-butylene glycol)",Alcohols,55,851
VINEGAR,,Spices & Condiments,1-pentanol (=amyl alcohol),Alcohols,34,108
VINEGAR,,Spices & Condiments,2-pentanol,Alcohols,,
VINEGAR,,Spices & Condiments,3-pentanol,Alcohols,,
VINEGAR,,Spices & Condiments,2-methylbenzyl alcohol,Alcohols,,
VINEGAR,,Spices & Condiments,2-phenylethanol (=phenethyl alcohol),Alcohols,,
VINEGAR,,Spices & Condiments,acetaldehyde (=ethanal),"Carbonyls, aldehydes",20,1060
VINEGAR,,Spices & Condiments,propanal (=propionaldehyde),"Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,"2-methylpropanal (=isobutanal, isobutyraldehyde)","Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,butanal (=butyraldehyde),"Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,"3-methylbutanal (=isopentanal, isovaleraldehyde)","Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,benzaldehyde,"Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,phenylacetaldehyde (=benzeneacetaldehyde),"Carbonyls, aldehydes",,
VINEGAR,,Spices & Condiments,"acetone (=2-propanone, dimethyl ketone)","Carbonyls, ketones",,
VINEGAR,,Spices & Condiments,3-hydroxy-2-butanone (=acetoin),"Carbonyls, ketones",10,9700
VINEGAR,,Spices & Condiments,"2,3-butanedione (=diacetyl)","Carbonyls, ketones",0.92,56
VINEGAR,,Spices & Condiments,2-pentanone,"Carbonyls, ketones",,
VINEGAR,,Spices & Condiments,4-methyl-2-pentanone,"Carbonyls, ketones",,
VINEGAR,,Spices & Condiments,acetic acid,Acids,47000,68000
VINEGAR,,Spices & Condiments,propanoic acid (=propionic acid),Acids,83,25000
VINEGAR,,Spices & Condiments,2-methylpropanoic acid (=isobutyric acid),Acids,12.5,60
VINEGAR,,Spices & Condiments,2-methylbutanoic acid,Acids,,
VINEGAR,,Spices & Condiments,3-methylbutanoic acid (=isovaleric acid),Acids,,
VINEGAR,,Spices & Condiments,methyl formate,Esters,,
VINEGAR,,Spices & Condiments,ethyl formate,Esters,32,185
VINEGAR,,Spices & Condiments,isobutyl formate,Esters,,
VINEGAR,,Spices & Condiments,isopentyl formate,Esters,,
VINEGAR,,Spices & Condiments,phenethyl formate,Esters,,
VINEGAR,,Spices & Condiments,methyl acetate,Esters,,
VINEGAR,,Spices & Condiments,ethyl acetate,Esters,9.8,130
VINEGAR,,Spices & Condiments,propyl acetate,Esters,,
VINEGAR,,Spices & Condiments,butyl acetate,Esters,4,166
VINEGAR,,Spices & Condiments,isobutyl acetate (=2-methylpropyl acetate),Esters,2.5,600
