Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
ANISE (Pimpinella anisum L.),,Spices & Condiments,(Z)-β-ocimene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-myrcene (=myrcene),Hydrocarbons,0,100
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-farnesene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,geijerene,Hydrocarbons,trace,trace
ANISE (Pimpinella anisum L.),,Spices & Condiments,pregeijerene,Hydrocarbons,trace,trace
ANISE (Pimpinella anisum L.),,Spices & Condiments,γ-terpinene,Hydrocarbons,trace,100
ANISE (Pimpinella anisum L.),,Spices & Condiments,terpinolene,Hydrocarbons,trace,trace
ANISE (Pimpinella anisum L.),,Spices & Condiments,limonene,Hydrocarbons,100,3100
ANISE (Pimpinella anisum L.),,Spices & Condiments,δ-elemene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-bisabolene,Hydrocarbons,1300,1300
ANISE (Pimpinella anisum L.),,Spices & Condiments,zingiberene,Hydrocarbons,1500,1500
ANISE (Pimpinella anisum L.),,Spices & Condiments,ar-curcumene,Hydrocarbons,500,500
ANISE (Pimpinella anisum L.),,Spices & Condiments,germacrene D,Hydrocarbons,1200,1200
ANISE (Pimpinella anisum L.),,Spices & Condiments,α-pinene,Hydrocarbons,0,100
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-pinene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,sabinene (=4(10)-thujene),Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,3-carene,Hydrocarbons,0,200
ANISE (Pimpinella anisum L.),,Spices & Condiments,α-himachalene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-himachalene,Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,γ-himachalene,Hydrocarbons,9900,9900
ANISE (Pimpinella anisum L.),,Spices & Condiments,β-caryophyllene,Hydrocarbons,8000,23700
ANISE (Pimpinella anisum L.),,Spices & Condiments,α-copaene (=copaene),Hydrocarbons,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,trace,300
ANISE (Pimpinella anisum L.),,Spices & Condiments,linalool,Alcohols,0,2600
ANISE (Pimpinella anisum L.),,Spices & Condiments,4-methoxybenzyl alcohol (=anis alcohol),Alcohols,2200,4000
ANISE (Pimpinella anisum L.),,Spices & Condiments,α-terpineol,Alcohols,0,3000
ANISE (Pimpinella anisum L.),,Spices & Condiments,4-terpineol (=terpinen-4-ol),Alcohols,0,200
ANISE (Pimpinella anisum L.),,Spices & Condiments,4-methoxybenzaldehyde (=anisaldehyde),"Carbonyls, aldehydes",5300,25000
ANISE (Pimpinella anisum L.),,Spices & Condiments,4-methoxyacetophenone (=acetanisole),"Carbonyls, ketones",7800,7800
ANISE (Pimpinella anisum L.),,Spices & Condiments,"carvone (=p-6,8-menthadien-2-one)","Carbonyls, ketones",3000,14800
ANISE (Pimpinella anisum L.),,Spices & Condiments,camphor (=alcanfor),"Carbonyls, ketones",1000,1000
ANISE (Pimpinella anisum L.),,Spices & Condiments,4-methoxybenzoic acid (=p-anisic acid),Acids,2600,4000
ANISE (Pimpinella anisum L.),,Spices & Condiments,linalyl acetate,Esters,100,100
ANISE (Pimpinella anisum L.),,Spices & Condiments,dihydrocarvyl acetate,Esters,9000,9000
ANISE (Pimpinella anisum L.),,Spices & Condiments,(E)-4-methoxy-2-(1-propenyl)-phenyl 2-methylbutanoate,Esters,9700,27000
ANISE (Pimpinella anisum L.),,Spices & Condiments,epoxy-pseudoisoeugenyl 2-methylbutanoate,Esters,1000,5000
ANISE (Pimpinella anisum L.),,Spices & Condiments,"1-allyl-4-methoxybenzene (=estragole, methylchavicol)",Phenols,100,49500
ANISE (Pimpinella anisum L.),,Spices & Condiments,(Z)-anethole (=(Z)-1-methoxy-4-(1-propenyl)benzene),Phenols,2200,11000
ANISE (Pimpinella anisum L.),,Spices & Condiments,"(E)-anethole (=(E)-1-methoxy-4-(1-propenyl)benzene, anise camphor)",Phenols,752000,961000
ANISE (Pimpinella anisum L.),,Spices & Condiments,acetylmethoxybenzene (unkn.str.) (=acetylanisole),Phenols,,
ANISE (Pimpinella anisum L.),,Spices & Condiments,"1-methoxy-4-(3-oxobutyl)benzene (=anisylacetone, bramble ketone)",Phenols,9000,9000
ANISE (Pimpinella anisum L.),,Spices & Condiments,eugenol (=4-allyl-2-methoxyphenol),Phenols,1200,2000
ANISE (Pimpinella anisum L.),,Spices & Condiments,(E)-2-methoxy-5-(1-propenyl)phenol (=(E)-isochavibetol),Phenols,100,4600
ANISE (Pimpinella anisum L.),,Spices & Condiments,"6-allyl-4-methoxy-1,3-benzodioxole (=myristicin)",Phenols,,
,CINNAMOMUM SPECIES,Spices & Condiments,β-ocimene,Hydrocarbons,trace,2100
,CINNAMOMUM SPECIES,Spices & Condiments,β-myrcene (=myrcene),Hydrocarbons,trace,800
,CINNAMOMUM SPECIES,Spices & Condiments,p-menthene (unkn.str.),Hydrocarbons,trace,600
,CINNAMOMUM SPECIES,Spices & Condiments,α-phellandrene,Hydrocarbons,trace,6000
,CINNAMOMUM SPECIES,Spices & Condiments,β-phellandrene,Hydrocarbons,trace,6400
