Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,γ-terpinene,Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,limonene,Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,α-pinene,Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,β-pinene,Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,β-caryophyllene,Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,vinylbenzene (=styrene),Hydrocarbons,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,methanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,ethanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-propanol (=propyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-propanol (=isopropyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-propen-1-ol (=allyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-methyl-1-propanol (=isobutanol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-butanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-butanol (=sec-butanol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-methyl-1-butanol (=active amyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-methyl-1-butanol (=isoamyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-pentanol (=amyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-pentanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-methyl-1-pentanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-hexanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,(E)-2-hexen-1-ol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,(Z)-3-hexen-1-ol (=leaf alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-heptanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-octanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"3,7-dimethyl-1,5,7-octatrien-3-ol (=hotrienol)",Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-nonanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-decanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-undecanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,1-dodecanol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,citronellol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,geraniol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,nerol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,linalool,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,benzyl alcohol (=benzenemethanol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-phenylethanol (=phenethyl alcohol),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,α-terpineol,Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,terpineol (unkn.str.),Alcohols,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,formaldehyde (=methanal),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,acetaldehyde (=ethanal),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,propanal (=propionaldehyde),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-propenal (=acrolein),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"2-methylpropanal (=isobutanal, isobutyraldehyde)","Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,butanal (=butyraldehyde),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,pentanal (=valeraldehyde),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,hexanal (=capronaldehyde),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,heptanal,"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,octanal (=caprylaldehyde),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,benzaldehyde,"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,cinnamaldehyde (=3-phenyl-2-propenal),"Carbonyls, aldehydes",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"acetone (=2-propanone, dimethyl ketone)","Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-butanone (=ethyl methyl ketone),"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-hydroxy-2-butanone (=acetoin),"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-pentanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,4-methyl-2-pentanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"2,4-dimethyl-3-pentanone","Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-heptanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-octanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-octanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-undecanone,"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,β-damascenone (=(E)-β-damascenone),"Carbonyls, ketones",,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,acetic acid,Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,propanoic acid (=propionic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,2-methylpropanoic acid (=isobutyric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,butanoic acid (=butyric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,3-methylbutanoic acid (=isovaleric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,pentanoic acid (=valeric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,hexanoic acid (=caproic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,heptanoic acid (=enanthic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,octanoic acid (=caprylic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,nonanoic acid (=pelargonic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,decanoic acid (=capric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,undecanoic acid,Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,undecenoic acid (unkn.str.),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,dodecanoic acid (=lauric acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,tetradecanoic acid (=myristic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,hexadecanoic acid (=palmitic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,octadecanoic acid (=stearic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,(Z)-9-octadecenoic acid (=oleic acid),Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"(Z,Z)-9,12-octadecadienoic acid (=linoleic acid)",Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,"(Z,Z,Z)-9,12,15-octadecatrienoic acid (=linolenic acid)",Acids,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,ethyl formate,Esters,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,propyl formate,Esters,,
PLUM BRANDY,,Alcoholic Beverages > 20% alc.,isopropyl formate,Esters,,
