Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
KUMAZASA (Sasa albo-marginata),,Miscellaneous,2-methyl-1-pentene,Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,"1,1,2,2-tetramethylcyclopropane",Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,methylbenzene (=toluene),Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,"1,3-dimethylbenzene (=m-xylene)",Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,"1,3,5-trimethylbenzene (=mesitylene)",Hydrocarbons,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,methanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,cyclohexanemethanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,ethanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,cyclohexaneethanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-propanol (=propyl alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,3-methyl-1-butanol (=isoamyl alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-pentanol (=amyl alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-penten-3-ol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-hexanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(Z)-3-hexen-1-ol (=leaf alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(E)-3-hexen-1-ol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-heptanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,2-octanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-octen-3-ol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-nonanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-decanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,linalool,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,cyclopentanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,cyclohexanol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,benzyl alcohol (=benzenemethanol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,1-phenylethanol (=α-methylbenzyl alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,2-phenylethanol (=phenethyl alcohol),Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,α-terpineol,Alcohols,,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,acetaldehyde (=ethanal),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,propanal (=propionaldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,butanal (=butyraldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,"3-methylbutanal (=isopentanal, isovaleraldehyde)","Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,pentanal (=valeraldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,hexanal (=capronaldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(E)-2-hexenal (=leaf aldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,heptanal,"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(E)-2-heptenal,"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,octanal (=caprylaldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(E)-2-octenal,"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,nonanal (=pelargonaldehyde),"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,(E)-2-nonenal,"Carbonyls, aldehydes",,
KUMAZASA (Sasa albo-marginata),,Miscellaneous,decanal (=capraldehyde),"Carbonyls, aldehydes",,
