Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,pentadecane,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,hexadecane,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,octadecane,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,"(E,E)-α-farnesene (=α-farnesene)",Hydrocarbons,3.07,3.07
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,cyclodecene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,limonene,Hydrocarbons,0.02,0.02
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,α-elemene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,δ-cadinene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,α-muurolene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,trans-caryophyllene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,α-copaene (=copaene),Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,alloaromadendrene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,α-gurjunene,Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,methylbenzene (=toluene),Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,"1,4-dimethylbenzene (=p-xylene)",Hydrocarbons,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,ethanol,Alcohols,,
,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,2-ethoxyethanol (=ethylene glycol monoethyl ether),Alcohols,,
