Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
,ANNATTO (Bixa orellana L.),Miscellaneous,octane,Hydrocarbons,0,19.2
,ANNATTO (Bixa orellana L.),Miscellaneous,nonane,Hydrocarbons,0,0.25
,ANNATTO (Bixa orellana L.),Miscellaneous,decane,Hydrocarbons,0,0.22
,ANNATTO (Bixa orellana L.),Miscellaneous,(E)-β-ocimene,Hydrocarbons,0.58,1.33
,ANNATTO (Bixa orellana L.),Miscellaneous,β-myrcene (=myrcene),Hydrocarbons,0,5.1
,ANNATTO (Bixa orellana L.),Miscellaneous,β-terpinene,Hydrocarbons,1.43,3.1
,ANNATTO (Bixa orellana L.),Miscellaneous,limonene,Hydrocarbons,0.03,2.5
,ANNATTO (Bixa orellana L.),Miscellaneous,δ-elemene,Hydrocarbons,1.14,15
,ANNATTO (Bixa orellana L.),Miscellaneous,germacrene B,Hydrocarbons,15.3,56.6
,ANNATTO (Bixa orellana L.),Miscellaneous,β-humulene,Hydrocarbons,129,220
,ANNATTO (Bixa orellana L.),Miscellaneous,α-pinene,Hydrocarbons,2.8,220
,ANNATTO (Bixa orellana L.),Miscellaneous,β-pinene,Hydrocarbons,28.5,93.4
,ANNATTO (Bixa orellana L.),Miscellaneous,camphene,Hydrocarbons,0.26,1.64
,ANNATTO (Bixa orellana L.),Miscellaneous,γ-muurolene,Hydrocarbons,0,2.6
,ANNATTO (Bixa orellana L.),Miscellaneous,"β-selinene (=4(14),11-selinadiene)",Hydrocarbons,1.2,2.2
,ANNATTO (Bixa orellana L.),Miscellaneous,valencene,Hydrocarbons,10,15.6
,ANNATTO (Bixa orellana L.),Miscellaneous,β-caryophyllene,Hydrocarbons,0,5.49
,ANNATTO (Bixa orellana L.),Miscellaneous,α-cubebene,Hydrocarbons,2.5,3.4
,ANNATTO (Bixa orellana L.),Miscellaneous,α-copaene (=copaene),Hydrocarbons,1.67,15.7
,ANNATTO (Bixa orellana L.),Miscellaneous,α-ylangene (=ylangene),Hydrocarbons,0.2,0.28
,ANNATTO (Bixa orellana L.),Miscellaneous,alloaromadendrene,Hydrocarbons,0,2.3
,ANNATTO (Bixa orellana L.),Miscellaneous,cycloisosativene,Hydrocarbons,0.59,6.6
,ANNATTO (Bixa orellana L.),Miscellaneous,methylbenzene (=toluene),Hydrocarbons,0.071,91.2
,ANNATTO (Bixa orellana L.),Miscellaneous,"1,4-dimethylbenzene (=p-xylene)",Hydrocarbons,3.3,269
,ANNATTO (Bixa orellana L.),Miscellaneous,β-panasinsene,Hydrocarbons,1.6,6
,ANNATTO (Bixa orellana L.),Miscellaneous,1-pentanol (=amyl alcohol),Alcohols,0,2.6
,ANNATTO (Bixa orellana L.),Miscellaneous,2-penten-1-ol,Alcohols,0,0.5
,ANNATTO (Bixa orellana L.),Miscellaneous,4-methyl-2-pentanol,Alcohols,0.09,0.111
,ANNATTO (Bixa orellana L.),Miscellaneous,3-hexen-1-ol,Alcohols,0,0.04
,ANNATTO (Bixa orellana L.),Miscellaneous,2-ethyl-1-hexanol,Alcohols,1.23,2.4
,ANNATTO (Bixa orellana L.),Miscellaneous,6-methyl-5-hepten-2-ol,Alcohols,0.29,0.33
,ANNATTO (Bixa orellana L.),Miscellaneous,4-terpineol (=terpinen-4-ol),Alcohols,0,0.19
,ANNATTO (Bixa orellana L.),Miscellaneous,2-methyl-2-butenal,"Carbonyls, aldehydes",0.3,18.6
,ANNATTO (Bixa orellana L.),Miscellaneous,hexanal (=capronaldehyde),"Carbonyls, aldehydes",0.1,5.5
,ANNATTO (Bixa orellana L.),Miscellaneous,heptanal,"Carbonyls, aldehydes",0,0.6
,ANNATTO (Bixa orellana L.),Miscellaneous,2-heptenal,"Carbonyls, aldehydes",0,1
,ANNATTO (Bixa orellana L.),Miscellaneous,nonanal (=pelargonaldehyde),"Carbonyls, aldehydes",0,1.3
,ANNATTO (Bixa orellana L.),Miscellaneous,3-penten-2-one,"Carbonyls, ketones",0.09,0.136
,ANNATTO (Bixa orellana L.),Miscellaneous,4-methyl-3-penten-2-one (=mesityl oxide),"Carbonyls, ketones",2.4,5.6
,ANNATTO (Bixa orellana L.),Miscellaneous,4-hydroxy-4-methyl-2-pentanone (=diacetone alcohol),"Carbonyls, ketones",0.56,28.5
,ANNATTO (Bixa orellana L.),Miscellaneous,2-heptanone,"Carbonyls, ketones",0,0.34
,ANNATTO (Bixa orellana L.),Miscellaneous,6-methyl-5-hepten-2-one,"Carbonyls, ketones",3.86,13.8
,ANNATTO (Bixa orellana L.),Miscellaneous,3-octanone,"Carbonyls, ketones",0.06,0.08
,ANNATTO (Bixa orellana L.),Miscellaneous,acetic acid,Acids,4.9,31.04
,ANNATTO (Bixa orellana L.),Miscellaneous,"1,2-propanediol 2-acetate",Esters,30,30
,ANNATTO (Bixa orellana L.),Miscellaneous,ethyl butanoate,Esters,0.07,2.2
,ANNATTO (Bixa orellana L.),Miscellaneous,methyl hexanoate,Esters,0,1.08
,ANNATTO (Bixa orellana L.),Miscellaneous,methyl octanoate,Esters,0,1.4
,ANNATTO (Bixa orellana L.),Miscellaneous,2-methylpyridine (=α-picoline),Bases,0,0.32
,ANNATTO (Bixa orellana L.),Miscellaneous,"1,8-cineole (=eucalyptol)",Ethers,0,2.51
,ANNATTO (Bixa orellana L.),Miscellaneous,"2,5-dimethylfuran",Furans,0,0.82
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,octane,Hydrocarbons,0,19.2
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,nonane,Hydrocarbons,0,0.25
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,decane,Hydrocarbons,0,0.22
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,(E)-β-ocimene,Hydrocarbons,0.58,1.33
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,β-myrcene (=myrcene),Hydrocarbons,2.9,5.1
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,limonene,Hydrocarbons,1.53,2.5
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,δ-elemene,Hydrocarbons,2.5,15
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,germacrene B,Hydrocarbons,15.3,44.5
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,β-humulene,Hydrocarbons,187,193
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,α-pinene,Hydrocarbons,40.4,220
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,β-pinene,Hydrocarbons,28.5,93.4
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,camphene,Hydrocarbons,0.26,1.64
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,γ-muurolene,Hydrocarbons,0,2.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,valencene,Hydrocarbons,10,11.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,β-caryophyllene,Hydrocarbons,0,5.49
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,α-cubebene,Hydrocarbons,2.5,3.4
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,α-copaene (=copaene),Hydrocarbons,9.3,15.7
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,alloaromadendrene,Hydrocarbons,0,2.3
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,cycloisosativene,Hydrocarbons,2.9,6.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,methylbenzene (=toluene),Hydrocarbons,8.5,91.2
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,"1,4-dimethylbenzene (=p-xylene)",Hydrocarbons,208,269
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,1-pentanol (=amyl alcohol),Alcohols,0,2.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,2-penten-1-ol,Alcohols,0,0.5
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,2-methyl-2-butenal,"Carbonyls, aldehydes",0.3,18.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,hexanal (=capronaldehyde),"Carbonyls, aldehydes",3.42,5.5
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,heptanal,"Carbonyls, aldehydes",0,0.6
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,2-heptenal,"Carbonyls, aldehydes",0,1
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,nonanal (=pelargonaldehyde),"Carbonyls, aldehydes",0,1.3
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,4-methyl-3-penten-2-one (=mesityl oxide),"Carbonyls, ketones",2.4,3.54
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,4-hydroxy-4-methyl-2-pentanone (=diacetone alcohol),"Carbonyls, ketones",24.2,28.5
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,2-heptanone,"Carbonyls, ketones",0,0.34
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,6-methyl-5-hepten-2-one,"Carbonyls, ketones",6.7,13.8
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,acetic acid,Acids,4.9,31.04
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,"1,2-propanediol 2-acetate",Esters,30,30
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,ethyl butanoate,Esters,1.93,2.2
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,methyl hexanoate,Esters,0,1.08
