Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
,ALPINIA SPECIES,Spices & Condiments,tridecane,Hydrocarbons,2700,2700
,ALPINIA SPECIES,Spices & Condiments,tetradecane,Hydrocarbons,5800,5800
,ALPINIA SPECIES,Spices & Condiments,pentadecane,Hydrocarbons,89800,89800
,ALPINIA SPECIES,Spices & Condiments,hexadecane,Hydrocarbons,2300,2300
,ALPINIA SPECIES,Spices & Condiments,heptadecane,Hydrocarbons,3600,3600
,ALPINIA SPECIES,Spices & Condiments,β-myrcene (=myrcene),Hydrocarbons,900,6200
,ALPINIA SPECIES,Spices & Condiments,β-farnesene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,(E)-β-farnesene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,γ-terpinene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,terpinolene,Hydrocarbons,<500,900
,ALPINIA SPECIES,Spices & Condiments,limonene,Hydrocarbons,<500,40000
,ALPINIA SPECIES,Spices & Condiments,β-sesquiphellandrene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,β-elemene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,γ-elemene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,β-bisabolene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,ar-curcumene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,α-humulene (=humulene),Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,α-pinene,Hydrocarbons,1900,1900
,ALPINIA SPECIES,Spices & Condiments,β-pinene,Hydrocarbons,1100,66000
,ALPINIA SPECIES,Spices & Condiments,camphene,Hydrocarbons,4100,46000
,ALPINIA SPECIES,Spices & Condiments,α-thujene,Hydrocarbons,900,900
,ALPINIA SPECIES,Spices & Condiments,sabinene (=4(10)-thujene),Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,3-carene,Hydrocarbons,32600,32600
,ALPINIA SPECIES,Spices & Condiments,α-bergamotene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,trans-α-bergamotene,Hydrocarbons,16000,16000
,ALPINIA SPECIES,Spices & Condiments,(+)-α-amorphene (=zizanene),Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,γ-cadinene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,δ-cadinene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,γ-muurolene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,"α-selinene (=5β,7α,10α-selina-3,11-diene)",Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,α-guaiene,Hydrocarbons,7200,7200
,ALPINIA SPECIES,Spices & Condiments,δ-guaiene (=α-bulnesene),Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,β-caryophyllene,Hydrocarbons,600,600
,ALPINIA SPECIES,Spices & Condiments,α-cubebene,Hydrocarbons,400,400
,ALPINIA SPECIES,Spices & Condiments,α-copaene (=copaene),Hydrocarbons,<500,4100
,ALPINIA SPECIES,Spices & Condiments,β-copaene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,α-santalene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,β-santalene,Hydrocarbons,4800,4800
,ALPINIA SPECIES,Spices & Condiments,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,2700,16000
,ALPINIA SPECIES,Spices & Condiments,1-allyl-2-methylbenzene,Hydrocarbons,<500,<500
,ALPINIA SPECIES,Spices & Condiments,calamenene,Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,calacorene (unkn.str.),Hydrocarbons,,
,ALPINIA SPECIES,Spices & Condiments,1-heptanol,Alcohols,<500,<500
,ALPINIA SPECIES,Spices & Condiments,1-octanol,Alcohols,<500,<500
,ALPINIA SPECIES,Spices & Condiments,linalool,Alcohols,3200,3200
,ALPINIA SPECIES,Spices & Condiments,nerolidol,Alcohols,,
,ALPINIA SPECIES,Spices & Condiments,p-cymenol (unkn.str.),Alcohols,,
,ALPINIA SPECIES,Spices & Condiments,α-terpineol,Alcohols,3900,3900
