Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
,SALVIA SPECIES,Spices & Condiments,2-methyl-1-butene,Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,3-methyl-1-butene,Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,"2-methyl-1,3-butadiene (=isoprene)",Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,hexane,Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,(E)-6-methyl-5-methylene-2-heptene (=E-salvene),Hydrocarbons,<400,6400
,SALVIA SPECIES,Spices & Condiments,(Z)-6-methyl-5-methylene-2-heptene (=Z-salvene),Hydrocarbons,0,7500
,SALVIA SPECIES,Spices & Condiments,(Z)-β-ocimene,Hydrocarbons,trace,8000
,SALVIA SPECIES,Spices & Condiments,(E)-β-ocimene,Hydrocarbons,1000,13600
,SALVIA SPECIES,Spices & Condiments,allo-ocimene,Hydrocarbons,trace,trace
,SALVIA SPECIES,Spices & Condiments,"(4Z,6Z)-allo-ocimene (=(Z,Z)-alloocimene)",Hydrocarbons,trace,1000
,SALVIA SPECIES,Spices & Condiments,"(4E,6E)-allo-ocimene (= (E,E-alloocimene)",Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,β-myrcene (=myrcene),Hydrocarbons,trace,32000
,SALVIA SPECIES,Spices & Condiments,"(E,E)-α-farnesene (=α-farnesene)",Hydrocarbons,1000,1000
,SALVIA SPECIES,Spices & Condiments,(E)-β-farnesene,Hydrocarbons,trace,trace
,SALVIA SPECIES,Spices & Condiments,α-phellandrene,Hydrocarbons,trace,1000
,SALVIA SPECIES,Spices & Condiments,β-phellandrene,Hydrocarbons,1000,1000
,SALVIA SPECIES,Spices & Condiments,α-terpinene,Hydrocarbons,trace,3800
,SALVIA SPECIES,Spices & Condiments,γ-terpinene,Hydrocarbons,trace,12000
,SALVIA SPECIES,Spices & Condiments,terpinolene,Hydrocarbons,trace,9800
,SALVIA SPECIES,Spices & Condiments,limonene,Hydrocarbons,trace,75700
,SALVIA SPECIES,Spices & Condiments,β-elemene,Hydrocarbons,,
,SALVIA SPECIES,Spices & Condiments,α-curcumene,Hydrocarbons,,
